Disease_UMLSID	MeSH Disease Terms 
C0000735	Abdominal Neoplasms
C0000737	Abdominal Pain
C0000744	Abetalipoproteinemia
C0000768	Abnormalities
C0000769	Abnormalities
C0000771	Abnormalities, Drug-Induced
C0000772	Abnormalities, Multiple
C0000786	Abortion, Spontaneous
C0000809	Abortion, Habitual
C0000810	Incomplete spontaneous abortion
C0000814	Abortion, Missed
C0000832	Abruptio Placentae
C0000833	Abscess
C0000849	Absenteeism
C0000889	Acanthosis Nigricans
C0001072	Achievement
C0001075	Achlorhydria
C0001080	Achondroplasia
C0001122	Acidosis
C0001125	Acidosis, Lactic
C0001126	Renal tubular acidosis
C0001144	Acne Vulgaris
C0001163	Vestibulocochlear Nerve Diseases
C0001175	Acquired Immunodeficiency Syndrome
C0001206	Acromegaly
C0001207	Hypersomatotropic gigantism
C0001261	Actinomycosis
C0001263	Abdominal actinomycosis
C0001264	Cervicofacial actinomycosis
C0001314	Acute Disease
C0001349	Acute-Phase Reaction
C0001403	Addison Disease
C0001418	Adenocarcinoma
C0001420	Adenocarcinoma, Papillary
C0001422	Adenofibroma
C0001430	Adenoma
C0001432	Adenoma, Chromophobe
C0001433	Adenoma, Acidophil
C0001487	Adenovirus Infections, Human
C0001511	Adhesions
C0001584	Adolescent Psychology
C0001614	Adrenal Cortex Diseases
C0001618	Adrenal Cortex Neoplasms
C0001622	Adrenocortical Hyperfunction
C0001623	Adrenal Insufficiency
C0001624	Adrenal Gland Neoplasms
C0001627	Adrenal Hyperplasia, Congenital
C0001630	Adrenal Rest Tumor
C0001723	Affective Disorders, Psychotic
C0001768	Agammaglobulinemia
C0001815	Primary Myelofibrosis
C0001818	Agoraphobia
C0001824	Agranulocytosis
C0001828	Agricultural Workers' Diseases
C0001849	AIDS Dementia Complex
C0001883	Airway Obstruction
C0001925	Albuminuria
C0001940	Alcohol Amnestic Disorder
C0001957	Alcohol Withdrawal Delirium
C0001969	Alcoholic Intoxication
C0001973	Alcoholism
C0002063	Alkalosis
C0002170	Alopecia
C0002171	Alopecia Areata
C0002312	alpha-Thalassemia
C0002351	Altitude Sickness
C0002382	Alveolar Bone Loss
C0002390	Alveolitis, Extrinsic Allergic
C0002395	Alzheimer Disease
C0002438	Amebiasis
C0002440	Chronic intestinal amebiasis
C0002448	Ameloblastoma
C0002453	Amenorrhea
C0002514	Amino Acid Metabolism, Inborn Errors
C0002534	Renal Aminoacidurias
C0002622	Amnesia
C0002726	Amyloidosis
C0002736	Amyotrophic Lateral Sclerosis
C0002792	Anaphylaxis
C0002871	Anemia
C0002874	Anemia, Aplastic
C0002875	Cooley's anemia
C0002878	Anemia, Hemolytic
C0002880	Anemia, Hemolytic, Autoimmune
C0002882	Anemia, Hemolytic, Congenital Nonspherocytic
C0002884	Anemia, Hypochromic
C0002888	Anemia, Megaloblastic
C0002892	Anemia, Pernicious
C0002893	Anemia, Refractory
C0002895	Anemia, Sickle Cell
C0002902	Anencephaly
C0002938	Aneuploidy
C0002940	Aneurysm
C0002949	Aneurysm, Dissecting
C0002962	Angina Pectoris
C0002963	Angina Pectoris, Variant
C0002965	Angina, Unstable
C0002982	Angioid Streaks
C0002986	Fabry Disease
C0002994	Angioneurotic Edema
C0003090	Ankylosis
C0003113	Anomia
C0003123	Anorexia
C0003125	Anorexia Nervosa
C0003128	Anovulation
C0003129	Anoxemia
C0003130	Anoxia
C0003165	Anthracosis
C0003175	Anthrax disease
C0003177	Cutaneous anthrax
