DrugBankID	DrugName
DB00001	Lepirudin
DB00002	Cetuximab
DB00003	Dornase alfa
DB00004	Denileukin diftitox
DB00005	Etanercept
DB00007	Leuprolide
DB00008	Peginterferon alfa-2a
DB00009	Alteplase
DB00010	Sermorelin
DB00011	Interferon alfa-n1
DB00013	Urokinase
DB00014	Goserelin
DB00015	Reteplase
DB00016	Erythropoietin
DB00017	Salmon Calcitonin
DB00018	Interferon alfa-n3
DB00019	Pegfilgrastim
DB00020	Sargramostim
DB00022	Peginterferon alfa-2b
DB00023	Asparaginase
DB00025	Antihemophilic factor, human recombinant
DB00026	Anakinra
DB00027	Gramicidin D
DB00028	Human immunoglobulin G
DB00029	Anistreplase
DB00030	Insulin Human
DB00031	Tenecteplase
DB00032	Menotropins
DB00033	Interferon gamma-1b
DB00034	Interferon alfa-2a, Recombinant
DB00035	Desmopressin
DB00036	Coagulation factor VIIa Recombinant Human
DB00038	Oprelvekin
DB00039	Palifermin
DB00040	Glucagon recombinant
DB00041	Aldesleukin
DB00042	Botulinum Toxin Type B
DB00043	Omalizumab
DB00046	Insulin Lispro
DB00047	Insulin Glargine
DB00048	Collagenase clostridium histolyticum
DB00049	Rasburicase
DB00050	Cetrorelix
DB00051	Adalimumab
DB00052	Somatropin recombinant
DB00053	Imiglucerase
DB00054	Abciximab
DB00055	Drotrecogin alfa
DB00056	Gemtuzumab ozogamicin
DB00059	Pegaspargase
DB00060	Interferon beta-1a
DB00062	Albumin human
DB00063	Eptifibatide
DB00065	Infliximab
DB00067	Vasopressin
DB00068	Interferon beta-1b
DB00069	Interferon alfacon-1
DB00071	Insulin pork
DB00072	Trastuzumab
DB00073	Rituximab
DB00074	Basiliximab
DB00075	Muromonab
DB00078	Ibritumomab tiuxetan
DB00080	Daptomycin
DB00081	Tositumomab
DB00082	Pegvisomant
DB00083	Botulinum toxin type A
DB00085	Pancrelipase
DB00086	Streptokinase
DB00087	Alemtuzumab
DB00088	Alglucerase
DB00090	Laronidase
DB00091	Cyclosporine
DB00092	Alefacept
DB00095	Efalizumab
DB00097	Choriogonadotropin alfa
DB00098	Antithymocyte immunoglobulin (rabbit)
DB00099	Filgrastim
DB00100	Coagulation Factor IX
DB00102	Becaplermin
DB00103	Agalsidase beta
DB00104	Octreotide
DB00105	Interferon alfa-2b
DB00106	Abarelix
DB00107	Oxytocin
DB00108	Natalizumab
DB00109	Enfuvirtide
DB00110	Palivizumab
DB00111	Daclizumab
DB00112	Bevacizumab
DB00114	pyridoxal phosphate
DB00115	vitamin B12
DB00116	Tetrahydrofolic acid
DB00117	Histidine
DB00118	S-Adenosylmethionine
DB00119	Pyruvic Acid
DB00120	Phenylalanine
DB00121	biotin
DB00122	Choline
DB00125	L-arginine
DB00126	ascorbic acid
DB00127	Spermine
DB00128	aspartate
DB00129	Ornithine
DB00130	L-Glutamine
DB00131	Adenosine monophosphate
DB00132	alpha-Linolenic Acid
DB00133	L-Serine
DB00134	Methionine
DB00135	Tyrosine
DB00136	calcitriol
DB00137	lutein
DB00139	Succinic Acid
DB00140	Riboflavin
DB00141	N-Acetylglucosamine
DB00142	Glutamic acid
DB00143	glutathione
DB00144	Phosphatidyl serine
DB00145	Glycine
DB00146	Calcifediol
DB00147	pyridoxal
DB00148	Creatine
DB00149	Leucine
DB00150	L-tryptophan
DB00151	L-Cysteine
DB00152	thiamine
DB00153	vitamin D2
DB00154	Dihomo-gamma-linolenic acid
DB00155	Citrulline
DB00156	Threonine
DB00157	NADH
DB00158	Folic Acid
DB00159	Eicosapentaenoic Acid
DB00160	Alanine
DB00161	Valine
DB00162	Vitamin A
DB00163	vitamin E
DB00165	pyridoxine
DB00166	Thioctic Acid
DB00167	Isoleucine
DB00168	Aspartame
DB00169	Cholecalciferol
DB00170	Vitamin K 3
DB00171	Adenosine Triphosphate
DB00172	Proline
DB00173	Adenine
DB00174	Asparagine
DB00175	pravastatin
DB00176	fluvoxamine
DB00177	valsartan
DB00178	ramipril
DB00179	Nordihydroguaiaretic Acid
DB00180	flunisolide
DB00181	baclofen
DB00182	Amphetamine
DB00183	Pentagastrin
DB00184	Nicotine
DB00185	cevimeline
DB00186	lorazepam
DB00187	esmolol
DB00188	bortezomib
DB00189	Ethchlorvynol
DB00190	carbidopa
DB00191	phentermine
DB00193	tramadol
DB00194	Vidarabine
DB00195	betaxolol
DB00196	fluconazole
DB00197	troglitazone
DB00198	oseltamivir
DB00199	erythromycin
DB00200	Hydroxocobalamin
DB00201	Fioricet
DB00202	succinylcholine
DB00203	sildenafil
DB00204	dofetilide
DB00205	Pyrimethamine
DB00206	reserpine
DB00207	azithromycin
DB00208	Ticlopidine
DB00209	Trospium
DB00210	adapalene
DB00211	midodrine
DB00212	Remikiren
DB00213	pantoprazole
DB00214	torasemide
DB00215	citalopram
DB00216	eletriptan
DB00217	Bethanidine
DB00218	moxifloxacin
DB00219	Oxyphenonium
DB00220	nelfinavir
DB00221	Isoetharine
DB00222	glimepiride
DB00223	Diflorasone
DB00224	indinavir
DB00225	gadodiamide
DB00226	Guanadrel
DB00227	lovastatin
DB00228	Enflurane
DB00229	cefotiam
DB00230	pregabalin
DB00231	temazepam
DB00232	Methyclothiazide
DB00233	para-aminosalicylic acid
DB00234	reboxetine
DB00235	milrinone
DB00236	Pipobroman
DB00237	Butabarbital
DB00238	nevirapine
DB00239	oxiconazole
DB00240	Alclometasone
DB00241	butalbital
DB00242	Cladribine
DB00243	ranolazine
DB00244	Mesalazine
DB00245	benztropine
