Gene Entrez ID	Gene Symbol
2	A2M
19	ABCA1
23	ABCF1
25	ABL1
31	ACACA
34	ACADM
37	ACADVL
38	ACAT1
39	ACAT2
47	ACLY
50	ACO2
58	ACTA1
59	ACTA2
60	ACTB
71	ACTG1
81	ACTN4
86	ACTL6A
87	ACTN1
89	ACTN3
90	ACVR1
91	ACVR1B
94	ACVRL1
95	ACY1
100	ADA
102	ADAM10
103	ADAR
104	ADARB1
105	ADARB2
116	ADCYAP1
118	ADD1
119	ADD2
120	ADD3
142	PARP1
143	PARP4
152	ADRA2C
154	ADRB2
156	ADRBK1
158	ADSL
159	ADSS
160	AP2A1
162	AP1B1
163	AP2B1
166	AES
178	AGL
182	JAG1
183	AGT
191	AHCY
196	AHR
197	AHSG
199	AIF1
202	AIM1
203	AK1
204	AK2
207	AKT1
208	AKT2
213	ALB
217	ALDH2
219	ALDH1B1
224	ALDH3A2
226	ALDOA
238	ALK
244	ANXA8L2
248	ALPI
249	ALPL
259	AMBP
267	AMFR
271	AMPD2
273	AMPH
287	ANK2
288	ANK3
290	ANPEP
291	SLC25A4
292	SLC25A5
293	SLC25A6
301	ANXA1
302	ANXA2
308	ANXA5
309	ANXA6
310	ANXA7
311	ANXA11
312	ANXA13
317	APAF1
322	APBB1
324	APC
326	AIRE
328	APEX1
329	BIRC2
330	BIRC3
331	XIAP
332	BIRC5
333	APLP1
334	APLP2
335	APOA1
336	APOA2
338	APOB
339	APOBEC1
341	APOC1
345	APOC3
346	APOC4
347	APOD
350	APOH
351	APP
355	FAS
356	FASLG
358	AQP1
360	AQP3
367	AR
369	ARAF
372	ARCN1
373	TRIM23
375	ARF1
382	ARF6
387	RHOA
388	RHOB
389	RHOC
390	RND3
392	ARHGAP1
394	ARHGAP5
396	ARHGDIA
400	ARL1
405	ARNT
406	ARNTL
407	ARR3
408	ARRB1
409	ARRB2
410	ARSA
432	ASGR1
433	ASGR2
439	ASNA1
440	ASNS
445	ASS1
463	ZFHX3
466	ATF1
467	ATF3
468	ATF4
472	ATM
476	ATP1A1
481	ATP1B1
486	FXYD2
487	ATP2A1
488	ATP2A2
495	ATP4A
498	ATP5A1
501	ALDH7A1
506	ATP5B
509	ATP5C1
515	ATP5F1
518	ATP5G3
522	ATP5J
523	ATP6V1A
525	ATP6V1B1
526	ATP6V1B2
527	ATP6V0C
529	ATP6V1E1
535	ATP6V0A1
539	ATP5O
545	ATR
566	AZU1
567	B2M
571	BACH1
572	BAD
573	BAG1
578	BAK1
580	BARD1
581	BAX
582	BBS1
583	BBS2
585	BBS4
595	CCND1
596	BCL2
597	BCL2A1
598	BCL2L1
599	BCL2L2
602	BCL3
604	BCL6
613	BCR
627	BDNF
633	BGN
634	CEACAM1
636	BICD1
637	BID
638	BIK
640	BLK
641	BLM
642	BLMH
648	BMI1
650	BMP2
651	BMP3
655	BMP7
657	BMPR1A
658	BMPR1B
659	BMPR2
660	BMX
662	BNIP1
663	BNIP2
664	BNIP3
665	BNIP3L
666	BOK
667	DST
668	FOXL2
672	BRCA1
673	BRAF
675	BRCA2
677	ZFP36L1
682	BSG
683	BST1
684	BST2
685	BTC
688	KLF5
689	BTF3
694	BTG1
695	BTK
699	BUB1
701	BUB1B
705	BYSL
708	C1QBP
710	SERPING1
712	C1QA
715	C1R
716	C1S
721	C4B
738	VPS51
740	MRPL49
745	MYRF
752	FMNL1
754	PTTG1IP
760	CA2
767	CA8
768	CA9
773	CACNA1A
780	DDR1
788	SLC25A20
790	CAD
800	CALD1
801	CALM1
805	CALM2
811	CALR
813	CALU
817	CAMK2D
818	CAMK2G
819	CAMLG
821	CANX
823	CAPN1
824	CAPN2
825	CAPN3
826	CAPNS1
829	CAPZA1
830	CAPZA2
831	CAST
832	CAPZB
834	CASP1
835	CASP2
836	CASP3
840	CASP7
841	CASP8
842	CASP9
843	CASP10
857	CAV1
858	CAV2
860	RUNX2
861	RUNX1
862	RUNX1T1
864	RUNX3
867	CBL
871	SERPINH1
873	CBR1
875	CBS
890	CCNA2
891	CCNB1
894	CCND2
896	CCND3
898	CCNE1
899	CCNF
901	CCNG2
904	CCNT1
908	CCT6A
916	CD3E
919	CD247
920	CD4
928	CD9
